      y+          U+           u'+            v'+           w'+           u'v'+
1.396175e+03 2.321818e+01 1.808834e+00 9.917493e-01 1.127689e+00 -6.658671e-01
1.404271e+03 2.323360e+01 1.805795e+00 9.907069e-01 1.126307e+00 -6.639099e-01
1.412381e+03 2.324899e+01 1.802754e+00 9.896590e-01 1.124925e+00 -6.619713e-01
1.420502e+03 2.326434e+01 1.799715e+00 9.886065e-01 1.123541e+00 -6.601132e-01
1.428636e+03 2.327966e+01 1.796676e+00 9.875502e-01 1.122157e+00 -6.581562e-01
1.436782e+03 2.329493e+01 1.793637e+00 9.864905e-01 1.120775e+00 -6.562277e-01
1.444941e+03 2.331017e+01 1.790599e+00 9.854276e-01 1.119397e+00 -6.542170e-01
1.453111e+03 2.332537e+01 1.787562e+00 9.843616e-01 1.118023e+00 -6.523114e-01
1.461294e+03 2.334054e+01 1.784525e+00 9.832926e-01 1.116654e+00 -6.503236e-01
1.469490e+03 2.335567e+01 1.781488e+00 9.822207e-01 1.115291e+00 -6.483148e-01
1.477697e+03 2.337077e+01 1.778451e+00 9.811462e-01 1.113940e+00 -6.463844e-01
1.485916e+03 2.338584e+01 1.775414e+00 9.800689e-01 1.112600e+00 -6.444354e-01
1.494148e+03 2.340087e+01 1.772379e+00 9.789885e-01 1.111273e+00 -6.424817e-01
1.502392e+03 2.341586e+01 1.769345e+00 9.779049e-01 1.109956e+00 -6.404857e-01
1.510647e+03 2.343081e+01 1.766310e+00 9.768184e-01 1.108646e+00 -6.384586e-01
1.518915e+03 2.344573e+01 1.763275e+00 9.757296e-01 1.107336e+00 -6.365634e-01
1.527195e+03 2.346060e+01 1.760242e+00 9.746396e-01 1.106025e+00 -6.345474e-01
1.535486e+03 2.347543e+01 1.757210e+00 9.735487e-01 1.104710e+00 -6.325247e-01
1.543790e+03 2.349023e+01 1.754182e+00 9.724566e-01 1.103386e+00 -6.306190e-01
1.552105e+03 2.350497e+01 1.751158e+00 9.713624e-01 1.102049e+00 -6.285644e-01
1.560432e+03 2.351967e+01 1.748139e+00 9.702649e-01 1.100696e+00 -6.265430e-01
1.568771e+03 2.353432e+01 1.745122e+00 9.691639e-01 1.099330e+00 -6.246171e-01
1.577121e+03 2.354893e+01 1.742105e+00 9.680598e-01 1.097953e+00 -6.226337e-01
1.585484e+03 2.356350e+01 1.739086e+00 9.669536e-01 1.096571e+00 -6.205775e-01
1.593858e+03 2.357803e+01 1.736066e+00 9.658464e-01 1.095186e+00 -6.185511e-01
1.602244e+03 2.359253e+01 1.733042e+00 9.647390e-01 1.093794e+00 -6.165743e-01
1.610641e+03 2.360699e+01 1.730015e+00 9.636319e-01 1.092395e+00 -6.145359e-01
1.619050e+03 2.362141e+01 1.726991e+00 9.625248e-01 1.090989e+00 -6.125943e-01
1.627471e+03 2.363580e+01 1.723973e+00 9.614168e-01 1.089577e+00 -6.105231e-01
1.635903e+03 2.365015e+01 1.720957e+00 9.603073e-01 1.088165e+00 -6.085462e-01
1.644347e+03 2.366446e+01 1.717937e+00 9.591964e-01 1.086754e+00 -6.065184e-01
1.652802e+03 2.367874e+01 1.714909e+00 9.580847e-01 1.085348e+00 -6.045213e-01
